標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
摩根JPM南韓基金,JFZ11-JF002,美元,,1991/12/11,RR5,,2026/09/03,175.24,-10.67,22.27,105.34,157.03,,45.35,0.52,0.68,175.24,671百萬,,正常狀態
施羅德環球基金系列 - 環球黃金A(累積) - 美元,PYZQ4-SD079,美元,,2016/06/29,RR5,,2026/09/03,476.8911,13.67,-9.24,67.59,338.58,,50.99,0.35,1.04,476.8911,"1,718百萬",,正常狀態
安聯全球礦金資源基金-AT累積類股(美元),TLZN1-DS131,美元,,2022/09/01,RR4,,2026/09/04,23.5892,2.68,4.9,66.43,105.13,,35.46,0.46,1.36,23.5892,"1,464百萬",,正常狀態
安聯全球資源基金,TLZ06-DS005,歐元,,1983/07/25,RR4,,2026/09/03,147.3,0.95,-0.93,64.62,91.61,,32.98,0.48,0.72,147.3,418百萬,,已下架但可原定期(不)定額
富蘭克林坦伯頓全球投資系列-生技領航基金,FLZ81-FL004,美元,,2000/04/03,RR4,,2026/09/04,73.09,18.42,20.61,64.17,113.65,,20.29,0.73,0.95,73.09,"2,164百萬",,正常狀態
晉達環球黃金基金,GSF17-IV009,美元,,2004/12/23,RR5,,2026/09/03,201.89,11.82,-15.18,62.59,255.77,,49.39,0.36,1.02,201.89,"1,100百萬",,正常狀態
摩根JPM太平洋科技基金,JFZ57-JF014,美元,,1997/08/15,RR5,,2026/09/03,177.27,-10.41,36.52,62.31,134.27,,44.98,0.36,1.32,177.27,"1,806百萬",,正常狀態
貝萊德世界礦業基金A2股,SHZ19-ML022,美元,,1997/03/24,RR4,,2026/09/04,118.76,2.18,2.72,60.79,92.2,,31.01,0.48,0.77,118.76,"6,771百萬",,正常狀態
貝萊德世界黃金基金A2股(歐元),SHZ53-ML002,歐元,,1994/12/30,RR5,,2026/09/04,98.23,12.75,-6.06,59.41,225.26,,39.25,0.39,0.81,98.23,"9,104百萬",,正常狀態
新加坡大華黃金及綜合基金(美元),UOB22-UOB01,美元,,1995/07/28,RR5,,2026/09/03,3.7923,13.32,-4.97,58.92,212.64,,42.98,0.36,0.89,3.7923,138百萬,,正常狀態
貝萊德世界黃金基金A2股(美元),SHZ18-ML001,美元,,1994/12/30,RR5,,2026/09/04,114.04,12.47,-6.18,58.92,249.92,,41.58,0.37,0.86,114.04,"9,104百萬",,正常狀態
貝萊德世界黃金基金A10(總報酬穩定配息)-美元(基金之配息來源可能為本金)*,SHZV6-ML076,美元,,2022/10/19,RR5,,2026/09/04,31.65,12.35,-6.19,58.86,249.55,,41.54,0.37,0.86,31.65,"9,104百萬",,正常狀態
