標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
安聯台灣科技基金,ACDD04-EQTAL046,台幣,國內股票開放型科技類,2001/04/03,RR5,無,2026/09/11,757.93,-0.51,52.99,165.09,394.28,,34.63,0.88,1.16,-,"2,525.72億",,
野村中小基金-累積類型,ACIC08-EQTIG013,台幣,國內股票開放型中小型,2001/04/11,RR5,無,2026/09/11,621.62,11.02,64.65,164,338.32,,33.97,0.89,1.52,-,220.72億,,
原康健人壽標的＿元大新主流證券投資信託基金,ACYT11-CGTS0,台幣,國內股票開放型一般股票型,1999/08/20,RR4,無,2026/09/11,181.62,-1.33,47.14,158.42,289.41,,40.21,0.75,1.59,-,219.88億,,
街口中小型基金,ACCH03-EQTPA001,台幣,國內股票開放型中小型,2003/03/12,RR5,無,2026/09/11,196.56,0.41,46.64,156.04,328.61,,29.51,0.98,1.49,-,8.15億,,
統一龍馬基金,ACPS03-EQTUP005,台幣,國內股票開放型一般股票型,1995/04/08,RR4,-,2026/09/11,624.71,4.73,67.93,155.78,342.55,,34.09,0.86,1.14,-,92.81億,,
元大台灣高股息優質龍頭基金-新台幣(B)配息 - (配現金)(本基金之配息來源可能為收益平準金且並無保證收益及配息),ACYT162-ECTPL011,台幣,國內股票開放型一般股票型,2020/03/23,RR4,月配,2026/09/11,28.29,15,67.04,150.99,248.64,,35.77,0.8,1.32,-,277.81億,,
元大台灣高股息優質龍頭基金-新台幣(A)不配息(本基金之配息來源可能為收益平準金且並無保證收益及配息),ACYT161-EQTPL010,台幣,國內股票開放型一般股票型,2020/03/23,RR4,無,2026/09/11,51.61,15,66.97,150.78,248.72,,35.82,0.8,1.32,-,509.34億,,
原康健人壽標的＿安聯台灣大壩基金,ACDD01-CATS6,台幣,國內股票開放型一般股票型,2000/04/10,RR4,無,2026/09/11,319.61,2.59,50.34,147.22,342.67,,30.94,0.9,1.19,-,770.11億,,
安聯台灣大壩基金-A類型-新臺幣,ACDD01-EQTAL005,台幣,國內股票開放型一般股票型,2000/04/10,RR4,無,2026/09/11,319.61,2.59,50.34,147.22,342.67,,30.94,0.9,1.19,-,770.11億,,
原康健人壽標的＿元大卓越證券投資信託基金,ACYT04-CGTS1,台幣,國內股票開放型一般股票型,1995/11/22,RR4,無,2026/09/11,228.24,2.59,43.78,147.01,285.15,,35.79,0.79,1.38,-,134.33億,,
瀚亞中小型股基金,ACCP10-EQTPC003,台幣,國內股票開放型中小型,1998/04/03,RR5,無,2026/09/11,167.14,5.88,50.52,146.12,297.01,,30.82,0.9,1.46,-,30.66億,,
玉山保德信中小型股基金,ACML09-EQTPD003,台幣,國內股票開放型中小型,1999/01/22,RR5,無,2026/09/11,321.25,1.36,41.06,145.51,317.42,,34.36,0.82,1.57,-,36.45億,,
摩根新興科技基金-一般型(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),ACJF76-EQTJF077,台幣,國內股票開放型科技類,1995/03/23,RR5,無,2026/09/11,452.06,0.61,56.09,140.1,332.55,,36.19,0.76,0.99,-,200.41億,,
原康健人壽標的＿元大多福證券投資信託基金,ACYT02-CGTA1,台幣,國內股票開放型一般股票型,1994/03/16,RR4,無,2026/09/11,337.89,2.32,46.95,139.04,280.38,,30.88,0.87,1.04,-,92.10億,,
