標的名稱,代碼,幣別,類型,成立日期,風險收益等級,配息頻率,淨值日期,淨值,三個月(%),六個月(%),一年(%),三年(%),成立以來(%),年化標準差,年化Sharpe,年化Beta,規模日期,基金規模,嘉實基金評等,備註
凱基雲端趨勢基金(美元),ACKG40-TF11,美元,跨國投資股票型全球市場,2018/01/02,RR4,無,2026/09/01,85.007,-10.3,27.26,59.71,136.15,342.35,36.85,0.41,2.35,2026/07/31,0.3523億,5,
凱基臺灣多元收益多重資產基金-新臺幣A,ACKG59-TF14,台幣,多重資產型,2019/08/05,RR3,無,2026/09/02,17.73,3.5,19.8,34.73,54.31,77.3,10.37,0.82,0.3,2026/07/31,4.264億,4,
凱基收益成長多重資產基金-新臺幣A(累積)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),ACKG60-TF15,台幣,多重資產型,2019/09/25,RR3,無,2026/09/01,15.6862,-0.02,4.63,11.08,42.51,56.87,6.8,0.41,0.52,2026/07/31,10.9039億,3,
凱基收益成長多重資產基金-美元A(累積)(本基金有相當比重投資於非投資等級之高風險債券且配息來源可能為本金),ACKG64-TF16,美元,多重資產型,2019/09/25,RR3,無,2026/09/01,17.3765,-0.21,4.5,10.36,50.95,73.77,8.4,0.31,0.68,2026/07/31,5.1393億,3,
普徠仕（盧森堡）系列基金－普徠仕全球焦點成長股票基金A級別(美元),MAR23-TF17,美元,股票型,2003/03/28,RR4,無,2026/09/01,114.27,-3.21,10.02,26.62,71.45,1042.7,19.54,0.36,1.45,2026/06/30,"5,169.00百萬",4,
普徠仕（盧森堡）系列基金－普徠仕新興市場股票基金A級別(美元),MAR15-TF18,美元,股票型,2004/10/26,RR5,無,2026/09/01,40.95,-3.21,10.14,44.39,57.68,309.5,22.75,0.49,1.39,2026/06/30,139.00百萬,3,
普徠仕（盧森堡）系列基金－普徠仕全球成長股票基金A級別(美元),MAR18-TF19,美元,股票型,2008/10/27,RR4,無,2026/09/01,85.49,-0.22,8.88,15.32,56.78,754.9,14.49,0.28,1.13,2026/06/30,447.00百萬,3,
凱基新興市場中小基金(美元),ACKG39-TF1Y,美元,跨國投資股票型區域型,2018/01/02,RR5,無,2026/09/01,42.0081,-7.81,13.02,68.63,133.14,126.55,41.08,0.42,1.94,2026/07/31,0.5124億,4.5,
凱基雲端趨勢基金(台幣),ACKG22-TF1Z,台幣,跨國投資股票型全球市場,2012/09/13,RR4,無,2026/09/01,90.1,-9.57,28.82,65.08,134.45,801,34.1,0.47,2.04,2026/07/31,8.2354億,4.5,
普徠仕（盧森堡）系列基金－普徠仕歐洲股票基金 A 級別(歐元),MAR20-TF2A,歐元,股票型,2007/05/02,RR4,無,2026/09/01,22.77,4.45,4.74,12.83,30.49,127.7,9.73,0.34,0.71,2026/06/30,17.00百萬,2,
